2000-05,BUKIT MERAH,3 ROOM,33,TAMAN HO SWEE,07 TO 09,62,ADJOINED FLAT,1969,101000
2001-02,BUKIT MERAH,3 ROOM,33,TAMAN HO SWEE,10 TO 12,62,ADJOINED FLAT,1969,95888
