1990-03,1
1990-06,2
1990-10,3
1991-02,4
1991-03,5
1991-04,9
1991-05,11
1991-07,13
1991-08,14
1991-10,15
1991-11,16
1992-01,18
1992-02,19
1992-03,21
1992-12,22
1993-08,23
1993-10,24
1994-03,25
1994-04,26
1994-05,27
1994-07,29
1994-08,30
1994-09,31
1994-11,32
1995-01,33
1995-03,34
1995-04,35
1995-06,36
1995-07,37
1995-10,38
1996-02,39
1996-06,40
1996-07,41
1996-10,43
1996-12,45
1997-01,47
1997-02,48
1997-04,50
1997-05,51
1997-09,52
1997-12,53
1998-01,54
1998-04,56
1998-05,57
1998-07,58
1998-09,60
1998-10,61
1998-11,63
1998-12,64
